matchup_id,season,week,team_id,opponent_id,team_score,opponent_score,is_playoff,is_championship,matchup_type
252,2020,10,1,9,82.51,64.36,False,False,NONE
253,2020,10,12,11,114.07,117.09,False,False,NONE
254,2020,10,11,12,117.09,114.07,False,False,NONE
255,2020,10,26,7,79.67,84.82,False,False,NONE
256,2020,10,7,26,84.82,79.67,False,False,NONE
257,2020,10,4,16,96.59,99.45,False,False,NONE
258,2020,10,16,4,99.45,96.59,False,False,NONE
259,2020,10,17,25,98.03,69.25,False,False,NONE
260,2020,10,25,17,69.25,98.03,False,False,NONE
261,2020,11,12,7,104.04,97.28,False,False,NONE
262,2020,11,7,12,97.28,104.04,False,False,NONE
263,2020,11,9,4,105.39,102.17,False,False,NONE
264,2020,11,4,9,102.17,105.39,False,False,NONE
265,2020,11,25,1,79.18,72.16,False,False,NONE
266,2020,11,1,25,72.16,79.18,False,False,NONE
267,2020,11,11,16,94.82,123.3,False,False,NONE
268,2020,11,16,11,123.3,94.82,False,False,NONE
269,2020,11,17,26,117.14,80.58,False,False,NONE
270,2020,11,26,17,80.58,117.14,False,False,NONE
271,2020,12,4,25,81.5,124.17,False,False,NONE
272,2020,12,25,4,124.17,81.5,False,False,NONE
273,2020,12,16,12,66.11,108.13,False,False,NONE
274,2020,12,12,16,108.13,66.11,False,False,NONE
275,2020,12,7,17,88.22,151.07,False,False,NONE
276,2020,12,17,7,151.07,88.22,False,False,NONE
277,2020,12,11,9,47.53,125.97,False,False,NONE
278,2020,12,9,11,125.97,47.53,False,False,NONE
279,2020,12,1,26,97.47,81.96,False,False,NONE
280,2020,12,26,1,81.96,97.47,False,False,NONE
281,2020,13,16,17,96.4,105.55,False,False,NONE
282,2020,13,17,16,105.55,96.4,False,False,NONE
283,2020,13,4,11,109.47,127.87,False,False,NONE
284,2020,13,11,4,127.87,109.47,False,False,NONE
285,2020,13,26,25,96.08,86.21,False,False,NONE
286,2020,13,25,26,86.21,96.08,False,False,NONE
287,2020,13,12,9,74.66,88.65,False,False,NONE
288,2020,13,9,12,88.65,74.66,False,False,NONE
289,2020,13,1,7,53.41,114.82,False,False,NONE
290,2020,13,7,1,114.82,53.41,False,False,NONE
291,2020,14,26,9,83.26,106.82,False,False,NONE
292,2020,14,9,26,106.82,83.26,False,False,NONE
293,2020,14,1,12,148.81,87.44,False,False,NONE
294,2020,14,12,1,87.44,148.81,False,False,NONE
295,2020,14,7,4,116.61,93.26,False,False,NONE
296,2020,14,4,7,93.26,116.61,False,False,NONE
297,2020,14,25,16,85.86,106.86,False,False,NONE
298,2020,14,16,25,106.86,85.86,False,False,NONE
299,2020,14,17,11,121.79,73.64,False,False,NONE
300,2020,14,11,17,73.64,121.79,False,False,NONE
301,2020,15,7,17,104.33,105.66,True,False,WINNERS_BRACKET
302,2020,15,17,7,105.66,104.33,True,False,WINNERS_BRACKET
303,2020,15,25,1,83.88,105.82,True,False,WINNERS_BRACKET
304,2020,15,1,25,105.82,83.88,True,False,WINNERS_BRACKET
305,2020,15,9,11,113.14,110.73,True,False,LOSERS_CONSOLATION_LADDER
306,2020,15,11,9,110.73,113.14,True,False,LOSERS_CONSOLATION_LADDER
307,2020,15,16,12,96.05,111.07,True,False,LOSERS_CONSOLATION_LADDER
308,2020,15,12,16,111.07,96.05,True,False,LOSERS_CONSOLATION_LADDER
309,2020,15,26,4,83.7,106.62,True,False,LOSERS_CONSOLATION_LADDER
310,2020,15,4,26,106.62,83.7,True,False,LOSERS_CONSOLATION_LADDER
311,2020,16,1,17,132.76,97.14,True,False,WINNERS_BRACKET
312,2020,16,17,1,97.14,132.76,True,False,WINNERS_BRACKET
313,2020,16,7,25,77.05,92.54,True,False,WINNERS_CONSOLATION_LADDER
314,2020,16,25,7,92.54,77.05,True,False,WINNERS_CONSOLATION_LADDER
315,2020,16,9,12,106.93,135.46,True,False,LOSERS_CONSOLATION_LADDER
316,2020,16,12,9,135.46,106.93,True,False,LOSERS_CONSOLATION_LADDER
317,2020,16,11,4,111.97,85.82,True,False,LOSERS_CONSOLATION_LADDER
318,2020,16,4,11,85.82,111.97,True,False,LOSERS_CONSOLATION_LADDER
319,2020,16,16,26,102.16,100.09,True,False,LOSERS_CONSOLATION_LADDER
320,2020,16,26,16,100.09,102.16,True,False,LOSERS_CONSOLATION_LADDER
321,2021,1,12,17,139.76,112.92,False,False,NONE
322,2021,1,17,12,112.92,139.76,False,False,NONE
323,2021,1,11,15,130.26,114.35,False,False,NONE
324,2021,1,15,11,114.35,130.26,False,False,NONE
325,2021,1,9,7,122.51,149.88,False,False,NONE
326,2021,1,7,9,149.88,122.51,False,False,NONE
327,2021,1,16,4,75.5,70.14,False,False,NONE
328,2021,1,4,16,70.14,75.5,False,False,NONE
329,2021,1,1,26,123.87,113.38,False,False,NONE
330,2021,1,26,1,113.38,123.87,False,False,NONE
331,2021,2,15,7,108.16,130.07,False,False,NONE
332,2021,2,7,15,130.07,108.16,False,False,NONE
333,2021,2,4,12,124.23,103.09,False,False,NONE
334,2021,2,12,4,103.09,124.23,False,False,NONE
335,2021,2,26,17,103.36,144.99,False,False,NONE
336,2021,2,17,26,144.99,103.36,False,False,NONE
337,2021,2,16,11,106.47,89.42,False,False,NONE
338,2021,2,11,16,89.42,106.47,False,False,NONE
339,2021,2,1,9,119.31,120.52,False,False,NONE
340,2021,2,9,1,120.52,119.31,False,False,NONE
341,2021,3,4,26,132.31,115.04,False,False,NONE
342,2021,3,26,4,115.04,132.31,False,False,NONE
343,2021,3,15,16,79.03,128.98,False,False,NONE
344,2021,3,16,15,128.98,79.03,False,False,NONE
345,2021,3,7,1,114.23,109.75,False,False,NONE
346,2021,3,1,7,109.75,114.23,False,False,NONE
347,2021,3,12,11,119.88,142.12,False,False,NONE
348,2021,3,11,12,142.12,119.88,False,False,NONE
349,2021,3,17,9,80.77,85.03,False,False,NONE
